familia,sub-familia,CÓDIGO,PRODUCTO,IMPORTADO,tipo_fabricacion,complejidad
Kangkawe,importado,,,IMPORTADO,importado-resell,
Kangkawe,importado,,,IMPORTADO,importado-resell,
Kangkawe,importado,,,IMPORTADO,importado-resell,
Kangkawe,importado,,,IMPORTADO,importado-resell,
Kangkawe,importado,,,IMPORTADO,importado-resell,
Kangkawe,importado,,,IMPORTADO,importado-resell,
Kangkawe,importado,,,IMPORTADO,importado-resell,
Kangkawe,importado,,,IMPORTADO,importado-resell,
Kangkawe,importado,,,IMPORTADO,importado-resell,
Kangkawe,importado,,,IMPORTADO,importado-resell,
Kangkawe,importado,,,IMPORTADO,importado-resell,
Kangkawe,importado,,,IMPORTADO,importado-resell,
Kangkawe,importado,,,IMPORTADO,importado-resell,
Kangkawe,importado,,,IMPORTADO,importado-resell,
Kangkawe,importado,,,IMPORTADO,importado-resell,
Kangkawe,importado,,,IMPORTADO,importado-resell,
Kangkawe,importado,,,IMPORTADO,importado-resell,
Kangkawe,importado,,,IMPORTADO,importado-resell,
Kangkawe,importado,,,IMPORTADO,importado-resell,
Kangkawe,importado,,,IMPORTADO,importado-resell,
Kangkawe,importado,,,IMPORTADO,importado-resell,
Kangkawe,importado,,,IMPORTADO,importado-resell,
Kangkawe,importado,,,IMPORTADO,importado-resell,
Kangkawe,importado,,,IMPORTADO,importado-resell,
Kangkawe,importado,,,IMPORTADO,importado-resell,
Kangkawe,importado,,,IMPORTADO,importado-resell,
Kangkawe,importado,,,IMPORTADO,importado-resell,
Kangkawe,importado,,,IMPORTADO,importado-resell,
Kangkawe,importado,,,IMPORTADO,importado-resell,
Lavaderos,lavamanos,ZLLRC-0420,Lavamanos con Faldon,IMPORTADO,importado-revisar,C1
Lavaderos,lavamanos,ZLLRA-0421,Lavamano con Atril y Accionamiento de Rodilla,IMPORTADO,importado-revisar,C1
Lavaderos,lavamanos,ZLLRF-0422,Lavamano Inox Rodilla,IMPORTADO,importado-revisar,C1
Lavaderos,lavamanos,ZLLRF-0530,Lavamanos un Puesto,IMPORTADO,importado-revisar,C1
Lavaderos,lavamanos,ZLLRP-0700,Lavamanos con pedestal,IMPORTADO,importado-revisar,C1
Lavaderos,lavamanos,DV-400,Lavamanos Mural con Respaldo (Vollrath),IMPORTADO,importado-revisar,C1
Lavaderos,lavamanos,DV-400A,Lavamanos con Atril (Vollrath),IMPORTADO,importado-revisar,C1
Lavaderos,lavamanos,ZLLCA-0031,Lavamanos Fijación a Muro Taza 320x230x130,IMPORTADO,importado-revisar,C1
Lavaderos,lavamanos,ZLLCA-0040,Lavamanos con Atril Taza 320x230x130,IMPORTADO,importado-revisar,C1
Lavaderos,lavamanos,ZLLCA-0055,Lavamanos 1 Taza con Llave Rodilla,IMPORTADO,importado-revisar,C1
Lavaderos,taza-accesorio,ZLLCA-0066,Lavafondo 1 Taza 600x600,IMPORTADO,importado-revisar,C1
Lavaderos,taza-accesorio,ZLLCA-0088,Lavafondo 1 Taza 700X600,IMPORTADO,importado-revisar,C1
Lavaderos,taza-accesorio,ZLLCA-0099,Lavafondo 1 Taza 700X700,IMPORTADO,importado-revisar,C1
Lavaderos,lavamopa,ZLLCA-0506,Mueble Lavamopas,IMPORTADO,importado-revisar,C1
Lavaderos,lavadero-simple,ZLLCA-0111,Lavadero de 1200mm,IMPORTADO,importado-revisar,C1
Lavaderos,lavadero-multiple,ZLLCA-1260,Lavadero Doble Inox Abierto,IMPORTADO,importado-revisar,C2
Lavaderos,lavadero-multiple,ZLLCA-1200,Lavadero Doble Inox Abierto,IMPORTADO,importado-revisar,C2
Lavaderos,lavadero-multiple,ZLLCA-1800,Lavadero Triple Inox,IMPORTADO,importado-revisar,C3
Lavaderos,lavadero-multiple,ZLLCA-2200,Lavadero Especial 3 Puestos,IMPORTADO,importado-revisar,C3
Lavaderos,lavadero-multiple,ZLLCA-3800,Lavadero Especial 4 Puestos,IMPORTADO,importado-revisar,C3
Lavaderos,taza-accesorio,ZLLCA-0104,Lavadero 1 Taza 1200 con Secador Derecho,IMPORTADO,importado-revisar,C1
Lavaderos,taza-accesorio,ZLLCA-1104,Lavadero 1 Taza 1200 con Secador Izquierdo,IMPORTADO,importado-revisar,C1
Lavaderos,taza-accesorio,ZLLCA-0103,Lavadero 2 Tazas 1400 Con Secador Derecho,IMPORTADO,importado-revisar,C1
Lavaderos,taza-accesorio,ZLLCA-1103,Lavadero 2 Tazas 1400 Con Secador Izquierdo,IMPORTADO,importado-revisar,C1
Lavaderos,taza-accesorio,ZLLCA-0106,Lavadero 2 Tazas 1600 con Secador Derecho,IMPORTADO,importado-revisar,C1
Lavaderos,taza-accesorio,ZLLCA-1106,Lavadero 2 Tazas 1600 con Secador Izquierdo,IMPORTADO,importado-revisar,C1
Lavaderos,lavadero-simple,LAPP-0700,Lavadero de 1 Puesto de Trabajo,IMPORTADO,importado-revisar,C1
Lavaderos,lavadero-multiple,ZLLE-0126,Lavadero de 2 Puestos de Trabajo,IMPORTADO,importado-revisar,C2
Lavaderos,lavadero-multiple,ZLLE-0127,Lavadeo de 3 Puestos de Trabajo,IMPORTADO,importado-revisar,C2
Lavaderos,lavadero-multiple,ZLLE-0128,Lavadero de 4 Puestos de Trabajo,IMPORTADO,importado-revisar,C2
Lavaderos,lavadero-multiple,ZLLE-0129,Lavadero de 5 Puestos de Trabajo,IMPORTADO,importado-revisar,C2
Lavaderos,lavadero-multiple,ZLLE-0130,Lavadero de 6 Puestos de Trabajo,IMPORTADO,importado-revisar,C2
Lavaderos,lavadero-multiple,ZLLE-0131,Lavadero de 7 Puestos de Trabajo,IMPORTADO,importado-revisar,C2
Lavaderos,lavadero-multiple,ZLLE-0260,Lavadero de 8 puestos de Trabajo,IMPORTADO,importado-revisar,C2
Lavaderos,lavadero-multiple,ZLLE-1500,Lavadero acero inox especial con tolva,IMPORTADO,importado-revisar,C3
Lavaderos,taza-accesorio,,Lavadero 2 Tazas 1900 con Secador Izquierdo,IMPORTADO,importado-revisar,C1
Lavaderos,cubierta-con-taza,CUTAZ-0009,Cubierta de 400x300x150 con Taza 320x230x150,IMPORTADO,importado-revisar,C2
Lavaderos,cubierta-con-taza,CUTAZ-0060,Cubierta de 600x600 con Taza 500x400x250,IMPORTADO,importado-revisar,C2
Lavaderos,cubierta-con-taza,CUTAZ-0040,Cubierta de 700x600 con Taza 500x400x250,IMPORTADO,importado-revisar,C2
Lavaderos,cubierta-con-taza,CUTAZ-0075,Cubierta de 700x700 con Taza 500x500x300,IMPORTADO,importado-revisar,C2
Lavaderos,cubierta-con-taza,CUTAZ-1260,Cubierta de 1200x600 con Taza 500x400x250,IMPORTADO,importado-revisar,C2
Lavaderos,cubierta-con-taza,CUTAZ-1200,Cubierta de 1200x600 con 2 Tazas 500x400x250,IMPORTADO,importado-revisar,C2
Lavaderos,cubierta-con-taza,CUTAZ-1460,Cubierta de 1400x600 con 2 Tazas 400x400x250,IMPORTADO,importado-revisar,C2
Lavaderos,cubierta-con-taza,CUTAZ-1660,Cubierta de 1600x600 con 2 Tazas 450x400x250,IMPORTADO,importado-revisar,C2
Lavaderos,cubierta-con-taza,CUTAZ-1670,Cubierta de 1600x700 con 2 Tazas 500x500x300,IMPORTADO,importado-revisar,C2
Lavaderos,lavamanos,CUTZ-00290,Lavamanos Fijo a Muro con Taza 290,,fabricado,C1
Lavaderos,lavamanos,CUTZ-00380,Lavamanos Fijo a Muro con Taza 380,,fabricado,C1
Lavaderos,taza-accesorio,TAZ-0027,Taza 355X405X191MM Des 4 1/2,IMPORTADO,importado-revisar,C1
Lavaderos,taza-accesorio,TAZ-0043,Taza 400X350X191 Des 4 1/1,IMPORTADO,importado-revisar,C1
Lavaderos,taza-accesorio,TAZ-0032,Taza 400X400X200 Des 4 1/2,IMPORTADO,importado-revisar,C1
Lavaderos,taza-accesorio,TAZ-0040,Taza 400X400X250 Des 4 1/2,IMPORTADO,importado-revisar,C1
Lavaderos,taza-accesorio,TAZ-0048,Taza 400X400X300 Des 4 1/2,IMPORTADO,importado-revisar,C1
Lavaderos,taza-accesorio,TAZ-0050,Taza 450X450X250 Des 4 1/2,IMPORTADO,importado-revisar,C1
Lavaderos,taza-accesorio,TAZ-0061,Taza 450X450X300 Des 4 1/2,IMPORTADO,importado-revisar,C1
Lavaderos,taza-accesorio,TAZ-0051,Taza 500X400X250 Des 4 1/2,IMPORTADO,importado-revisar,C1
Lavaderos,taza-accesorio,TAZ-0054,Taza 500X400X300,IMPORTADO,importado-revisar,C1
Lavaderos,taza-accesorio,TAZ-0062,Taza 500X500X250 Des 4 1/2,IMPORTADO,importado-revisar,C1
Lavaderos,taza-accesorio,TAZ-0075,Taza 500X500X300 Des 4 1/2,IMPORTADO,importado-revisar,C1
Lavaderos,taza-accesorio,TAZ-0090,Taza 600X500X300 Des 4 1/2,IMPORTADO,importado-revisar,C1
Lavaderos,taza-accesorio,TAZOV-0290,Taza Redonda 290mm,IMPORTADO,importado-revisar,C1
Lavaderos,taza-accesorio,TAZOV-0380,Taza Redonda 380mm,IMPORTADO,importado-revisar,C1
Lavaderos,accesorio-clinico,BEINOX-0520,Bebedero,,fabricado,C1
Lavaderos,accesorio-clinico,LO-01,Lavaojos,IMPORTADO,importado-revisar,C1
Lavaderos,lavamopa,LVMPA-880,Lavamopa 880,,fabricado,C1
Lavavajillas,lavavajillas,HDW-50,Lavavajillas 500X500MM,IMPORTADO,importado-revisar,C2
Lavavajillas,lavavajillas,HDW-80,Lavavajillas 640X740X1470MM,IMPORTADO,importado-revisar,C2
Lavavajillas,accesorio,,Ablandador de Agua,IMPORTADO,importado-revisar,C1
Lavavajillas,meson-repisa,BAMTE-0900,Mesón Salida de Lavavajilla,,fabricado,C1
Lavavajillas,meson-en-proyecto,BAMTE-1400,Mesón Entrada de Lavavajilla con Desconche,,fabricado,C3
Mesones de Trabajo,meson-simple,BAMT-0900,Mesón Abierto de Trabajo de 900mm,,fabricado,C1
Mesones de Trabajo,meson-repisa,BAMT-1000,Mesón Abierto de Trabajo con repisa  de 1000 x 600 x 860 mm,,fabricado,C1
Mesones de Trabajo,meson-repisa,BAMT-1001,Mesón Abierto de Trabajo con repisa de 1000 x 600 x 860 mm,,fabricado,C1
Mesones de Trabajo,meson-repisa,BAMT-1002,Mesón Abierto de Trabajo con repisa de 1000 x 700 x 860 mm,,fabricado,C1
Mesones de Trabajo,meson-repisa,BAMT-1003,Mesón Abierto de Trabajo con repisa de 1000 x 800 x 860 mm,,fabricado,C1
Mesones de Trabajo,meson-simple,BAMT-1011,Mesón Abierto de Trabajo de 1000 x 800 x 860 mm,,fabricado,C1
Mesones de Trabajo,meson-cajones,BAMT-00200,Mesón Cerrado de Trabajo con Repisa de 2000 mm,,fabricado,C2
Mesones de Trabajo,meson-simple,BAMT - 1013,Mesón Abierto de Trabajo de 1000 x 800 x 860 mm,,fabricado,C1
Mesones de Trabajo,meson-repisa,BAMT-1401,Mesón Abierto de Trabajo con Repisa de 1400 x 600 x 860 mm,,fabricado,C1
Mesones de Trabajo,meson-en-proyecto,BAMT-1400,Mesón con Desconche de 1400 x 600 x 860 mm,,fabricado,C3
Mesones de Trabajo,meson-simple,BAMT-1012,Mesó Abierto de Trabajo de 1000 x 700 x 860 mm,,fabricado,C1
Mesones de Trabajo,meson-cajones,BAMT-0199,Mesón Cerrado de Trabajo con Repisa de 1500 mm,,fabricado,C2
Mesones de Trabajo,meson-cajones,BAMT-0197,Mesón Cerrado de Trabajo con Repisa de 1900 mm,,fabricado,C2
Mesones de Trabajo,meson-cajones,BAMTC-1300,Mesón Abierto de Trabajo con Repisa de 1300 x 600 x 860 mm,,fabricado,C2
Mesones de Trabajo,meson-simple,BAMTP-1100,Mesón Abierto de Trabajo Pintado de 1100 x 650 x 900 mm,,fabricado,C1
Mesones de Trabajo,meson-cajones,BAMTCU-1401,Mesón Abierto de Trabajo en Cobre de 1400 x 600 x 860 mm,,fabricado,C2
Mesones de Trabajo,meson-en-proyecto,MLRS-1800,Mesón de Lavado con Rack Secador,,fabricado,C3
Mesones de Trabajo,meson-simple,MPBK-2030,Mesón de Preparación,,fabricado,C2
Mesones de Trabajo,meson-en-proyecto,MCC1,Mueble Clínico,,fabricado,C3
Mesones de Trabajo,meson-en-proyecto,MCA-01,Mesa de Acero y Cristal,,fabricado,C3
Mesones de Trabajo,meson-en-proyecto,MAE-2500,Módulo de Atención Entrega,,fabricado,C3
Mesones de Trabajo,meson-en-proyecto,MQV-1400,Mesón de Procedimientos Veterinarios,,fabricado,C3
Mesones de Trabajo,meson-en-proyecto,MTCG-2000,Mesón de Trabajo con Cubierta de Granito,,fabricado,C3
Mesones de Trabajo,meson-en-proyecto,MDS-01240,Mesa Desueradora,,fabricado,C3
Mesones de Trabajo,meson-en-proyecto,,Basurero para Desconche de 70 LTRS,,fabricado,C3
Mesones de Trabajo,meson-en-proyecto,,Basurero con Ruedas para Desconche de 70 LTRS.,,fabricado,C3
Mesones de Trabajo,meson-simple,,Mesón de Trabajo,,fabricado,C1
Mesones de Trabajo,meson-repisa,,Mesón Abierto de Trabajo con Repisa en Cruz,,fabricado,C1
Mesones de Trabajo,meson-repisa,,Mesón con 3 Repisas Abierto,,fabricado,C1
Módulo de Autoservicio,modulo-neutro,AUDP-0177,Modulo Pan y Servicio,,fabricado,C2
Módulo de Autoservicio,modulo-neutro,AUMN-0900,Módulo Neutro 900mm,,fabricado,C2
Módulo de Autoservicio,modulo-neutro,AUMN-1000,Módulo Neutro 1000mm,,fabricado,C2
Módulo de Autoservicio,carro-bandejero,AUCB-0178,Carro Bandejero Cap 12 Bandejas,,fabricado,C1
Módulo de Autoservicio,carro-bandejero,AUCB-0810,Carro Bandejero Doble Cap 24 Bandejas,,fabricado,C1
Módulo de Autoservicio,salad-bar,AUSB-3510,Salad Bar con Gabinete Interior con Panel Acrilico Iluminado,,fabricado,C3
Módulo de Autoservicio,salad-bar,DUSB3A,Salad Bar 3 Depósitos Full,,fabricado,C2
Módulo de Autoservicio,bano-maria,DUBM3A-G,Baño Maria 3 Depósitos Full a Gas,,fabricado,C1
Módulo de Autoservicio,bano-maria,DUBM3A-E,Bño Maria 3 Depósitos Full Eléctrico,,fabricado,C2
Módulo de Autoservicio,bano-maria,DUBM6A,Baño Maria 6 Depósitos Full,,fabricado,C1
Módulo de Autoservicio,salad-bar,DUSB4A,Salad Bar 4 Depósitos Full,,fabricado,C2
Módulo de Autoservicio,bano-maria,DUBM4A-G,Baño Maria 4 Depósitos Full a Gas,,fabricado,C1
Módulo de Autoservicio,bano-maria,DUBM4A-E,Baño Maria 4 Depósitos Full Eléctrico,,fabricado,C2
Módulo de Autoservicio,accesorio,PIPS-0395AI,Perol de Sopa 10 Litros Inox,,fabricado,C1
Módulo de Autoservicio,accesorio,PIPS-0395,Perol de Sopa 10 Litros Negro,,fabricado,C1
Módulo de Autoservicio,accesorio,PICP-0450,Calienta Platos,,fabricado,C1
Módulo de Autoservicio,meson,MEC-1200,Mesón con Desconche Especial,,fabricado,C2
Módulo de Autoservicio,accesorio,RPVCM-1000,Metro Lineal Revestimiento Frontal PVC Madera,,fabricado,C1
Muebles refrigerados,freezer,CCVC-0070,Congeladora,IMPORTADO,importado-revisar,C3
Muebles refrigerados,visicooler,CCVC-0273,Conservadora 273 LTS,IMPORTADO,importado-revisar,C3
Muebles refrigerados,refrigerador,FD-020,Máquina para Fabricar Hielo,IMPORTADO,importado-revisar,C3
Muebles refrigerados,vitrina-refrigerada,HW-848,Vitrina Refrigerada de Sobremesa,IMPORTADO,importado-revisar,C3
Muebles refrigerados,meson-refrigerado,MRE-1200,Mesón Refrigerado de 1200MM,IMPORTADO,importado-revisar,C3
Muebles refrigerados,meson-refrigerado,MRE-1500,Mesón Refrigerado de 1500MM,IMPORTADO,importado-revisar,C3
Muebles refrigerados,meson-refrigerado,MRE-1800,Mesón Refrigerado de 1800MM,IMPORTADO,importado-revisar,C3
Muebles refrigerados,meson-refrigerado,MRC-1500,Mesón Refrigerado de 1500MM,IMPORTADO,importado-revisar,C3
Muebles refrigerados,meson-refrigerado,MRU-1200,Mesón Refrigerado de 1200MM,IMPORTADO,importado-revisar,C3
Muebles refrigerados,meson-freezer,MRFREE-1200,Mesón Freezer de 1200MM,IMPORTADO,importado-revisar,C2
Muebles refrigerados,meson-freezer,MRFREE-1500,Mesón Freezer de 1500MM,IMPORTADO,importado-revisar,C2
Muebles refrigerados,meson-refrigerado,M2PC-1370,Mesón Refrigerado 2 Puertas Cristal,IMPORTADO,importado-revisar,C3
Muebles refrigerados,meson-refrigerado,M3PC-1800,Mesón Refrigerado 3 Puertas Cristal,IMPORTADO,importado-revisar,C3
Muebles refrigerados,meson-refrigerado,MR3E-1800,Mesón Refrigerado de 1800MM,IMPORTADO,importado-revisar,C3
Muebles refrigerados,meson-refrigerado,MR6C-1500,Mesón Refrigerado con Cajones de 1500MM,IMPORTADO,importado-revisar,C3
Muebles refrigerados,meson-refrigerado,MR6C-1800,Mesón Refrigerado con Cajones de 1800 MM,IMPORTADO,importado-revisar,C3
Muebles refrigerados,meson-refrigerado,MR4CB-1500,Mesón Refrigerado 4 Cajones,IMPORTADO,importado-revisar,C3
Muebles refrigerados,meson-refrigerado,MR6CB-1800,Mesón Refrigerado 6 Cajones,IMPORTADO,importado-revisar,C3
Muebles refrigerados,visicooler,PIVS-0090,Visicooler Vertical 90 LTS,IMPORTADO,importado-revisar,C3
Muebles refrigerados,visicooler,PIVS-0120,Visicooler Vertical 120 LTS,IMPORTADO,importado-revisar,C3
Muebles refrigerados,visicooler,PIVS-0380,Visicooler Vertical 380 LTS,IMPORTADO,importado-revisar,C3
Muebles refrigerados,visicooler,PIVSB-0380,Visicooler Vertical Blanco 380 LTS,IMPORTADO,importado-revisar,C3
Muebles refrigerados,visicooler,PIVS-1000,Vitrina Vertical Visicooler 1000 LTS,IMPORTADO,importado-revisar,C3
Muebles refrigerados,vitrina-pastelera,PIVE-0682,Vitrina Pastelera de Sobremesa,IMPORTADO,importado-revisar,C2
Muebles refrigerados,refrigerador,RM-0738,Refrigerador Industrial 500 LTS,IMPORTADO,importado-revisar,C3
Muebles refrigerados,refrigerador,RM-1250,Refrigerador Industrial 1000 LTS,IMPORTADO,importado-revisar,C3
Muebles refrigerados,refrigerador,RM-1425,Refrigerador Industrial 1000 LTS,IMPORTADO,importado-revisar,C3
Muebles refrigerados,refrigerador,RMV-0620,Refrigerador Puerta de Cristal 500 LTS,IMPORTADO,importado-revisar,C3
Muebles refrigerados,refrigerador,RMVC-0380,Refrigerador Color Cobre 500 LTS,IMPORTADO,importado-revisar,C3
Muebles refrigerados,refrigerador,RMVG-0380,Refrigerador Color Grafito con Puerta Cristal 500 LTS,IMPORTADO,importado-revisar,C3
Muebles refrigerados,refrigerador,RMV2-0620,Refrigerador 2 Puertas de Cristal 500 LTS,IMPORTADO,importado-revisar,C3
Muebles refrigerados,refrigerador,RCHEE-1200,Refrigerador 2 Puertas de Cristal 900 LTS,IMPORTADO,importado-revisar,C3
Muebles refrigerados,freezer,RFREE-0620,Congelador Industrial con Puerta Cristal 400 LTS,IMPORTADO,importado-revisar,C3
Muebles refrigerados,freezer,RFREE-0738,Congelador Industrial 500 LTS,IMPORTADO,importado-revisar,C3
Muebles refrigerados,freezer,RFREE-1425,Congelador Industrial 1000 LTS,IMPORTADO,importado-revisar,C3
Muebles refrigerados,freezer,RFREEV2-0620,Congelador Industrial 500 LTS,IMPORTADO,importado-revisar,C3
Muebles refrigerados,visicooler,SC-C327,Vitrina Vertical Visicooler 324 LTS,IMPORTADO,importado-revisar,C3
Muebles refrigerados,visicooler,SC-C387,Vitrina Vertical Visicooler 387 LTS,IMPORTADO,importado-revisar,C3
Muebles refrigerados,visicooler,SC-C517,Vitrina Vertical Visicooler 517 LTS,IMPORTADO,importado-revisar,C3
Muebles refrigerados,visicooler,SC-C817,Vitrina Vertical Visicooler 739 LTS,IMPORTADO,importado-revisar,C3
Muebles refrigerados,visicooler,SC-C1127,Vitrina Vertical Visicooler 1123 LTS,IMPORTADO,importado-revisar,C3
Muebles refrigerados,visicooler,SC-C1727,Vitrina Vertical Visicooler 1587 LTS,IMPORTADO,importado-revisar,C3
Muebles refrigerados,vitrina-pastelera,SL830V,Vitrina Pastelera Refrigerada de 900 MM,IMPORTADO,importado-revisar,C3
Muebles refrigerados,vitrina-pastelera,SL840V,Vitrina Pastelera Refrigerada de 1200 MM,IMPORTADO,importado-revisar,C3
Muebles refrigerados,vitrina-pastelera,SL840VC,Vitrina Pastelera Refrigerada Curva de 1200 MM,IMPORTADO,importado-revisar,C3
Muebles refrigerados,vitrina-pastelera,SL850V,Vitrina Pastelera Refrigerada de 1500 MM,IMPORTADO,importado-revisar,C3
Ollas,olla,FO-280260,Olla Acero Inoxidable 16 LTS,,fabricado,C1
Ollas,olla,FO-320320,Olla Acero Inoxidable 25 LTS,,fabricado,C1
Ollas,olla,FO-360250,Olla Acero Inoxidable 25 LTS,,fabricado,C1
Ollas,olla,FO-400260,Olla Acero Inoxidable 32 LTS,,fabricado,C1
Ollas,olla,FO-400400,Olla Acero Inoxidable 50 LTS,,fabricado,C1
Ollas,olla,FO-450300,Olla Acero Inoxidable 47 LTS,,fabricado,C1
Plancha Churrasquera y Baño Maria,plancha-con-bano-maria,PLCHBM,Plancha Churrasquera con Baño Maria,,fabricado,C2
Plancha Churrasquera y Baño Maria,plancha-con-lonchera,PLCHLBM,Plancha Churrasquera con Lonchera,,fabricado,C3
Plancha Churrasquera y Baño Maria,plancha-con-bano-maria,PLCH2BM,Plancha Churrasquera con Baño Maria Doble,,fabricado,C2
Plancha Churrasquera y Baño Maria,plancha-con-bano-maria,PLCHBM-1300,Plancha Churrasquera con Baño Maria,,fabricado,C2
Plancha Churrasquera y Baño Maria,plancha-con-bano-maria,PLCHBM-1500,Plancha Churrasquera con Baño Maria,,fabricado,C2
Plancha Churrasquera,plancha-gas,PLCH,Plancha Churrasquera 1 Quemador,,fabricado,C1
Plancha Churrasquera,plancha-gas,PLCH-1000,Plancha Churrasquera 2 Quemadores,,fabricado,C1
Plancha Churrasquera,plancha-gas,PLCH-1100,Plancha Churrasquera 2 Quemadores,,fabricado,C1
Plancha Churrasquera,plancha-gas,PLCH1100-P,Plancha Churrasquera 2 Quemadores Especial,,fabricado,C2
Plancha Churrasquera,plancha-gas,PLCH-1300,Plancha Churrasquera 3 Quemadores,,fabricado,C1
Plancha Churrasquera,plancha-especial,PLCHFA,Plancha Churrasquera Fuente Alemana,,fabricado,C2
Plancha Churrasquera,plancha-gas,HGR-906,Plancha Churrasquera,,fabricado,C1
Plancha Churrasquera,plancha-electrica,HEG-606,Plancha Churrasquera Eléctrica Encimera,,fabricado,C2
Plancha Churrasquera,plancha-electrica,HEG-818/PCE-550,Plancha Churrasquera Eléctrica Encimera,,fabricado,C2
Plancha Churrasquera,plancha-electrica,HEG-820/PCE-730,Plancha Churrasquera Eléctrica Encimera,,fabricado,C2
Plancha Churrasquera,plancha-electrica,CCCH-0018,Plancha Lisa Eléctrica de Sobremesa,,fabricado,C2
Plancha Churrasquera,accesorio,,Enchufe de 16 Amperes,,fabricado,C1
Poruñas,poruña-pequeña,POR-0100,Poruña 100 Gramos,,fabricado,C1
Poruñas,poruña-mediana,POR-0140,Poruña 140 Gramos,,fabricado,C1
Poruñas,poruña-mediana,POR-0170,Poruña 170 Gramos,,fabricado,C1
Poruñas,poruña-mediana,POR-0250,Poruña 250 Gramos,,fabricado,C1
Poruñas,poruña-mediana,POR-0300,Poruña 300 Gramos,,fabricado,C1
Poruñas,poruña-mediana,POR-0340,Poruña 340 Gramos,,fabricado,C1
Poruñas,poruña-mediana,POR-0500,Poruña 500 Gramos,,fabricado,C1
Poruñas,poruña-mediana,POR-0600,Poruña 600 Gramos,,fabricado,C1
Poruñas,poruña-mediana,POR-0750,Poruña 750 Gramos,,fabricado,C1
Poruñas,poruña-grande,POR-1000,Poruña 1 Kilo,,fabricado,C1
Poruñas,poruña-grande,POR-1500,Poruña 1.5 Kilos,,fabricado,C1
Poruñas,poruña-grande,POR-2000,Poruña 2 Kilos,,fabricado,C2
Poruñas,poruña-grande,POR-3000,Poruña 3 Kilos,,fabricado,C2
Poruñas,poruña-grande,POR-5000,Poruña 5 Kilos,,fabricado,C2
Salseras,salsera-simple,SC3,Salsera 3 Depósitos 1/3,IMPORTADO,importado-revisar,C1
Salseras,salsera-simple,SC6,Salsera 6 Depósitos 1/3,IMPORTADO,importado-revisar,C1
Salseras,salsera-grande,SC7,Salsera 7 Depósitos 1/3,IMPORTADO,importado-revisar,C1
Salseras,salsera-grande,SC8,Salsera 8 Depósitos 1/4,IMPORTADO,importado-revisar,C1
Salseras,salsera-grande,SC10,Salsera 10 Depósitos 1/3,IMPORTADO,importado-revisar,C1
Salseras,salsera-grande,SC12,Salsera 12 Depósitos 1/3,IMPORTADO,importado-revisar,C1
Salseras,salsera-pizza,SP18,Salsera Industrial Para Pizza 18 Depósitos Varios,IMPORTADO,importado-revisar,C1
Salseras,salsera-pizza,CFSC-0074,Salsera Industrial Para Pizza 8 Depósitos 1/3,IMPORTADO,importado-revisar,C1
